0 48 0 0 0 
1	180	-147	181	0
2	180	-147	181	-1
3	180	-147	181	-2
4	180	-147	181	-3
5	180	-147	181	-4
6	180	-147	181	-5
7	180	-147	181	-6
8	180	-147	181	-7
9	180	-147	181	-8
10	180	-147	181	-9
11	180	-147	181	-10
12	180	-147	181	-11
13	180	-147	181	-12
14	180	-147	181	-13
15	180	-147	181	-14
16	180	-146	181	-15
17	179	-146	181	-16
18	179	-146	181	-17
19	179	-146	181	-18
20	179	-146	181	-19
21	179	-146	181	-20
22	179	-146	181	-21
23	179	-146	181	-22
24	179	-146	181	-23
25	179	-146	181	-24
26	179	-146	181	-25
27	179	-146	181	-26
28	179	-146	181	-27
29	179	-146	181	-28
30	179	-146	181	-29
31	179	-146	181	-30
32	179	-146	181	-31
33	178	-146	181	-32
34	178	-145	181	-33
35	178	-145	181	-34
36	178	-145	181	-35
37	178	-145	181	-36
38	178	-145	181	-37
39	178	-145	181	-38
40	178	-145	181	-39
41	178	-145	181	-40
42	178	-145	181	-41
43	178	-145	181	-42
44	178	-145	181	-43
45	178	-145	181	-44
46	178	-145	181	-45
47	178	-145	181	-46
48	178	-145	181	-47
