0 41 0 0 0
1	7	-5	-10	-65
2	7	-5	-9	-65
3	8	-6	-8	-65
4	8	-6	-7	-65
5	9	-7	-6	-65
6	10	-8	-5	-65
7	10	-8	-4	-65
8	11	-9	-3	-65
9	11	-9	-2	-65
10	12	-10	-1	-65
11	13	-11	0	-65
12	13	-11	1	-65
13	14	-12	2	-65
14	14	-12	3	-65
15	15	-13	4	-65
16	16	-14	5	-65
17	16	-14	6	-65
18	17	-15	7	-65
19	17	-15	8	-65
20	18	-16	9	-65
21	19	-17	10	-65
22	19	-17	11	-65
23	20	-18	12	-65
24	20	-18	13	-65
25	21	-19	14	-65
26	22	-20	15	-65
27	22	-20	16	-65
28	23	-21	17	-65
29	23	-21	18	-65
30	24	-22	19	-65
31	25	-23	20	-65
32	25	-23	21	-65
33	26	-24	22	-65
34	26	-24	23	-65
35	27	-25	24	-65
36	28	-26	25	-65
37	28	-26	26	-65
38	29	-27	27	-65
39	30	-28	28	-65
40	31	-29	29	-65
41	32	-30	30	-65


