0 48 0 0 0
1	0	-1	-1	0
2	0	-1	-1	1
3	0	-1	-1	2
4	0	-1	-1	3
5	0	-1	-1	4
6	0	-1	-1	5
7	0	-1	-1	6
8	0	-1	-1	7
9	0	-1	-1	8
10	0	-1	-1	9
11	0	-1	-1	10
12	0	-1	-1	11
13	0	-1	-1	12
14	0	-1	-1	13
15	0	-1	-1	14
16	0	-2	-1	15
17	1	-2	-1	16
18	1	-2	-1	17
19	1	-2	-1	18
20	1	-2	-1	19
21	1	-2	-1	20
22	1	-2	-1	21
23	1	-2	-1	22
24	1	-2	-1	23
25	1	-2	-1	24
26	1	-2	-1	25
27	1	-2	-1	26
28	1	-2	-1	27
29	1	-2	-1	28
30	1	-2	-1	29
31	1	-2	-1	30
32	1	-2	-1	31
33	2	-2	-1	32
34	2	-3	-1	33
35	2	-3	-1	34
36	2	-3	-1	35
37	2	-3	-1	36
38	2	-3	-1	37
39	2	-3	-1	38
40	2	-3	-1	39
41	2	-3	-1	40
42	2	-3	-1	41
43	2	-3	-1	42
44	2	-3	-1	43
45	2	-3	-1	44
46	2	-3	-1	45
47	2	-3	-1	46
48	2	-3	-1	47

